index,link,download,error,type,duration
0,https://www.youtube.com/watch?v=PK0WvynDMmQ,yes,no,ky_nang_song,14
1,https://www.youtube.com/watch?v=skSv_wQt3EU,yes,no,ky_nang_song,21
2,https://www.youtube.com/watch?v=0IHTNnmRJP8,yes,no,ky_nang_song,9
3,https://www.youtube.com/watch?v=KsgAZz-xfXQ&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=3,yes,no,ky_nang_song,6
4,https://youtu.be/GyKF9SIfDUM?list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2,yes,no,ky_nang_song,20
5,https://youtu.be/ZXGyTCMG3Ck?list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2,yes,no,ky_nang_song,13
6,https://www.youtube.com/watch?v=1QLXmV6h0s0&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=6,yes,no,ky_nang_song,16
7,https://www.youtube.com/watch?v=x_RZgdMKfi0&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=7,yes,no,ky_nang_song,15
8,https://youtu.be/2oGOVfXOAV8?list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2,yes,no,ky_nang_song,10
9,https://www.youtube.com/watch?v=QCd1hRSE-IU&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=9,yes,no,ky_nang_song,7
10,https://www.youtube.com/watch?v=wDSHryyc6qw&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=10,yes,no,ky_nang_song,14
11,https://www.youtube.com/watch?v=tzDSFqrchBk&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=11,yes,no,ky_nang_song,22
12,https://www.youtube.com/watch?v=VBYDaSHJr1U&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=12,yes,no,ky_nang_song,15
13,https://www.youtube.com/watch?v=emZyGZRuS74&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=13,yes,no,ky_nang_song,12
14,https://www.youtube.com/watch?v=dYsC0G5NQus&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=14,yes,no,ky_nang_song,11
15,https://www.youtube.com/watch?v=THqFN2ErKgY&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=15,yes,no,ky_nang_song,14
16,https://www.youtube.com/watch?v=KkCqYQDQP_Q&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=16,yes,no,ky_nang_song,20
17,https://www.youtube.com/watch?v=K5TTjDJGlik&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=17,yes,no,ky_nang_song,11
18,https://www.youtube.com/watch?v=sXkDir5CeEM&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=18,yes,no,ky_nang_song,12
19,https://www.youtube.com/watch?v=kTH9I1aNyBc&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=19,yes,no,ky_nang_song,10
20,https://www.youtube.com/watch?v=JwTOmT-Jsrw&list=PL6MWgaszXrMuWZV48Bwo6QH_zaaVuFlJ2&index=20,yes,no,ky_nang_song,10
